solver,problem,problem_size,cost,time_to_solve,solution_status,valid_solution,timed_out_without_tour,timestamp
concorde,zurich_50_0,50,22511.0,0.07636172184720635,Success: Exact solution found. gap is zero,True,False,20260317_124702
concorde,zurich_50_1,50,23246.0,0.09326808410696685,Success: Exact solution found. gap is zero,True,False,20260317_124702
concorde,zurich_50_10,50,21336.0,0.07576961698941886,Success: Exact solution found. gap is zero,True,False,20260317_124702
concorde,zurich_50_11,50,21700.0,0.040911005111411214,Success: Exact solution found. gap is zero,True,False,20260317_124702
concorde,zurich_50_12,50,19193.0,0.087660406017676,Success: Exact solution found. gap is zero,True,False,20260317_124702
concorde,zurich_50_13,50,18981.0,0.04743814002722502,Success: Exact solution found. gap is zero,True,False,20260317_124702
concorde,zurich_50_14,50,22869.0,0.05581662408076227,Success: Exact solution found. gap is zero,True,False,20260317_124702
concorde,zurich_50_15,50,23528.0,0.07043621898628771,Success: Exact solution found. gap is zero,True,False,20260317_124702
concorde,zurich_50_16,50,19233.0,0.03281339001841843,Success: Exact solution found. gap is zero,True,False,20260317_124703
concorde,zurich_50_17,50,21068.0,0.06750918901525438,Success: Exact solution found. gap is zero,True,False,20260317_124703
concorde,zurich_50_18,50,19828.0,0.059570674085989594,Success: Exact solution found. gap is zero,True,False,20260317_124703
concorde,zurich_50_19,50,20464.0,0.0668922879267484,Success: Exact solution found. gap is zero,True,False,20260317_124703
concorde,zurich_50_2,50,21659.0,0.06592404912225902,Success: Exact solution found. gap is zero,True,False,20260317_124703
concorde,zurich_50_20,50,20211.0,0.025207776110619307,Success: Exact solution found. gap is zero,True,False,20260317_124703
concorde,zurich_50_21,50,22708.0,0.04709283891133964,Success: Exact solution found. gap is zero,True,False,20260317_124703
concorde,zurich_50_22,50,20515.0,0.05821547796949744,Success: Exact solution found. gap is zero,True,False,20260317_124703
concorde,zurich_50_23,50,21753.0,0.05822129198350012,Success: Exact solution found. gap is zero,True,False,20260317_124703
concorde,zurich_50_24,50,20850.0,0.055735554080456495,Success: Exact solution found. gap is zero,True,False,20260317_124703
concorde,zurich_50_25,50,19633.0,0.046572945080697536,Success: Exact solution found. gap is zero,True,False,20260317_124703
concorde,zurich_50_26,50,22023.0,0.0753681140486151,Success: Exact solution found. gap is zero,True,False,20260317_124703
concorde,zurich_50_27,50,20354.0,0.036389128072187304,Success: Exact solution found. gap is zero,True,False,20260317_124703
concorde,zurich_50_28,50,21669.0,0.04127989988774061,Success: Exact solution found. gap is zero,True,False,20260317_124703
concorde,zurich_50_29,50,20760.0,0.03103765193372965,Success: Exact solution found. gap is zero,True,False,20260317_124703
concorde,zurich_50_3,50,21818.0,0.058216570876538754,Success: Exact solution found. gap is zero,True,False,20260317_124703
concorde,zurich_50_4,50,20086.0,0.056687173899263144,Success: Exact solution found. gap is zero,True,False,20260317_124704
concorde,zurich_50_5,50,18406.0,0.0796109619550407,Success: Exact solution found. gap is zero,True,False,20260317_124704
concorde,zurich_50_6,50,23413.0,0.09391320403665304,Success: Exact solution found. gap is zero,True,False,20260317_124704
concorde,zurich_50_7,50,21065.0,0.1567471199668944,Success: Exact solution found. gap is zero,True,False,20260317_124704
concorde,zurich_50_8,50,21188.0,0.052180189872160554,Success: Exact solution found. gap is zero,True,False,20260317_124704
concorde,zurich_50_9,50,20355.0,0.0647049848921597,Success: Exact solution found. gap is zero,True,False,20260317_124704
concorde,zurich_100_0,100,30225.0,0.38193384604528546,Success: Exact solution found. gap is zero,True,False,20260317_124704
concorde,zurich_100_1,100,30382.0,0.1849068240262568,Success: Exact solution found. gap is zero,True,False,20260317_124704
concorde,zurich_100_10,100,29754.0,0.15230935718864202,Success: Exact solution found. gap is zero,True,False,20260317_124705
concorde,zurich_100_11,100,30920.0,0.15048403199762106,Success: Exact solution found. gap is zero,True,False,20260317_124705
concorde,zurich_100_12,100,27916.0,0.19757079193368554,Success: Exact solution found. gap is zero,True,False,20260317_124705
concorde,zurich_100_13,100,31550.0,0.2223404198884964,Success: Exact solution found. gap is zero,True,False,20260317_124705
concorde,zurich_100_14,100,32423.0,0.18470245506614447,Success: Exact solution found. gap is zero,True,False,20260317_124705
concorde,zurich_100_15,100,28143.0,0.12796501303091645,Success: Exact solution found. gap is zero,True,False,20260317_124706
concorde,zurich_100_16,100,30955.0,0.20737883215770125,Success: Exact solution found. gap is zero,True,False,20260317_124706
concorde,zurich_100_17,100,32441.0,0.1923512991052121,Success: Exact solution found. gap is zero,True,False,20260317_124706
concorde,zurich_100_18,100,27969.0,0.14804866397753358,Success: Exact solution found. gap is zero,True,False,20260317_124706
concorde,zurich_100_19,100,30148.0,0.131377523066476,Success: Exact solution found. gap is zero,True,False,20260317_124706
concorde,zurich_100_2,100,30984.0,0.1287092361599207,Success: Exact solution found. gap is zero,True,False,20260317_124707
concorde,zurich_100_20,100,28463.0,0.13583843200467527,Success: Exact solution found. gap is zero,True,False,20260317_124707
concorde,zurich_100_21,100,32236.0,0.26836166181601584,Success: Exact solution found. gap is zero,True,False,20260317_124707
concorde,zurich_100_22,100,28951.0,0.13414020999334753,Success: Exact solution found. gap is zero,True,False,20260317_124707
concorde,zurich_100_23,100,29992.0,0.11752870702184737,Success: Exact solution found. gap is zero,True,False,20260317_124707
concorde,zurich_100_24,100,30893.0,0.27476760605350137,Success: Exact solution found. gap is zero,True,False,20260317_124707
concorde,zurich_100_25,100,28750.0,0.1249185239430517,Success: Exact solution found. gap is zero,True,False,20260317_124708
concorde,zurich_100_26,100,29637.0,0.1930702170357108,Success: Exact solution found. gap is zero,True,False,20260317_124708
concorde,zurich_100_27,100,28945.0,0.22297354717738926,Success: Exact solution found. gap is zero,True,False,20260317_124708
concorde,zurich_100_28,100,28343.0,0.11952796112746,Success: Exact solution found. gap is zero,True,False,20260317_124708
